movie_poster,movie_name,movie_description,movie_trailer,movie_actress,movie_genres,movie_release,movie_length,movie_director
https://iguov8nhvyobj.vcdn.cloud/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/p/o/poster_payoff_loc_xoay_tu_than_8_1_.jpg,TWISTERS,"Kate Cooper, a former storm chaser haunted by a devastating encounter with a tornado during her college years who now studies storm patterns on screens safely in New York City. She is lured back to the open plains by her friend, Javi to test a groundbreaking new tracking system. There, she crosses paths with Tyler Owens, the charming and reckless social-media superstar who thrives on posting his storm-chasing adventures with his raucous crew, the more dangerous the better. As storm season intensifies, terrifying phenomena never seen before are unleashed, and Kate, Tyler and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives.",https://www.youtube.com/embed/jwZPrbekSxI?rel=0&showinfo=0,"Glen Powell, Daisy Edgar-Jones, Anthony Ramos, Kiernan Shipka,…","Action, Adventure, Thriller",2024-07-12,,Lee Isaac Chung
https://iguov8nhvyobj.vcdn.cloud/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/o/h/oh_my_ghost_the_finale_-poster_-_vn.jpg,OH MY GHOST: THE FINALE,"This new dormitory is located in the middle of beautiful nature. But what everyone doesn't know is This area is a haven for people with sorcery, people who play games, and is full of mysteries that cannot be answered.",https://www.youtube.com/embed/u05-Z9qV9MY?rel=0&showinfo=0,"Jaturong Phonboon, Charoenphol Onlamai,  Wiradit Srimanlaya, Channarong Khanthitao (Tick), Kanticha Chumma (Ticha), Panthipa Arunwattanachai (Pumpui), Achachriya Sritaa (Professer Tong), Champa Saenprom (Mae Champa)","Comedy, Horror",2024-07-12,,Poj Anon
https://iguov8nhvyobj.vcdn.cloud/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/r/s/rsz_ld_poster.jpg,LONG DISTANCE,"Long Distance revolves around the survival battle of astronauts Andy and Naomi. Their spacecraft is struck by an asteroid, forcing Andy to make an emergency landing on an alien planet. As their oxygen supply dwindles and their lives are in imminent danger, Andy unexpectedly picks up a signal from Naomi and must reach her location to try to survive together. Mysterious creatures keep appearing, threatening the lives of Andy and Naomi. Can they both overcome all obstacles to return to Earth?",https://www.youtube.com/embed/OhqYl0OcM3U?rel=0&showinfo=0,"Anthony Ramos, Naomi Scott, Kristofer Hivju.","Adventure, Romance",2024-07-12,,"Josh Gordon, Will Speck."
https://iguov8nhvyobj.vcdn.cloud/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/p/s/ps_main-poster-koqua.jpg,PROJECT SILENCE,"Due to sudden deteriorating weather conditions, visibility on the Airport Bridge is severely impaired, leaving people stranded and at risk of the bridge collapsing due to a series of chain collisions and explosions. Amidst the chaos, the canine subjects ""Echo"" from the military experiment ""Project Silence,"" who were being transported in secret, break free, and all human survivors become targets of relentless attacks.
Various individuals find themselves stranded on the Airport Bridge for different reasons - a government official from the presidential office (LEE Sun Kyun) who was seeing off his daughter (KIM Su An) at the airport; a tow truck driver (JU Ji Hoon) who was on his way to a multi-collision scene; an elderly couple (MOON Sung Geun, YE Su Jeong) who were returning from a trip abroad; sisters (PARK Hee Von, PARK Ju Hyun) who missed their flights, and Dr. Yang (Kim Hie Won), the researcher responsible for Project Silence - and a desperate struggle begins for them to escape to safety.",https://www.youtube.com/embed/aHWtDgYo-_w?rel=0&showinfo=0,"LEE Sun Kyun, JU Ji Hoon, KIM Hie Won, MOON Sung Geun, YE Su Jeong, KIM Tae Woo, PARK Hee Von, PARK Ju Hyun, KIM Su An",Action,2024-07-19,,KIM Tae Gon
https://iguov8nhvyobj.vcdn.cloud/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/h/e/hello_jadoo_magic_ocean_poster_vietnam__470x700.jpg,HELLO JADOO SPECIAL: UNDER THE SEA,"Hello Jadoo: Under The Sea is a delightful adventure story of Jadoo and her friends, unveiling a series of familiar fairy tales about the ocean, but this time told in a funny, interesting, and Choi family - style way.",https://www.youtube.com/embed/egIboz9LcUQ?rel=0&showinfo=0,,Animation,2024-07-19,,Son Seok Woo
https://iguov8nhvyobj.vcdn.cloud/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/3/5/350x395-boo.jpg,MY BOO,"Inheriting a house, a streamer guy finds out that the mansion contains three very unruly spirits. However, thanks to poor motivation which caused him to swiftly transform this location into a spiritual site to draw tourists, as well as flirting with a lovely witch Anong's heart.",https://www.youtube.com/embed/9vPcGJR2pSw?rel=0&showinfo=0,"Sutthirak Subvijitra, Maylada Susri, Timethai Plangsilp…","Comedy, Romance, Thriller",2024-07-19,124 minutes,Komgrit Triwimol
https://iguov8nhvyobj.vcdn.cloud/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/3/5/350x495_2_.png,Deadpool 3: DEADPOOL & WOLVERINE,"Wolverine is recovering from his injuries when he crosses paths with the loudmouth, Deadpool. They team up to defeat a common enemy.",https://www.youtube.com/embed/BmwqLXEB2pU?rel=0&showinfo=0,"Josh Brolin, Ryan Reynolds, Morena Baccarin",Action,2024-07-26,,Shawn Levy
https://iguov8nhvyobj.vcdn.cloud/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/b/p/bp_700x1000_1_.jpg,BLACKPINK WORLD TOUR [BORN PINK] IN CINEMAS,"BLACKPINK’s BORN PINK tour that captivated the world comes to the big screen, celebrating the group’s 8th anniversary since their debut!
Drawing an audience of 1.8 million and breaking global records for female group concert tours, experience the energy of the live performances in cinemas worldwide!
Featuring the iconic ‘Hanok’ set that has mesmerized fans and press worldwide, the film shows unprecedented production scale, presenting exclusively arranged versions of BLACKPINK’s hit songs unique to this concert and encompassing performances from Seoul’s Gocheok Dome alongside footage from further cities across the global tour.
Join us for all the exhilarating moments, premiering in over 110 countries, marking a first for a K-POP female group. Experience even more in special formats ScreenX, 4DX, and ULTRA 4DX!",No trailer,"Jisoo, Jennie, Rosé, Lisa",Concert,2024-07-31,,
https://iguov8nhvyobj.vcdn.cloud/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/2/4/240531_-_dc27_-_main_poster_1_.jpg,DETECTIVE CONAN THE MOVIE: THE MILLION-DOLLAR PENTAGRAM,"On Heiji Hattori and Conan's visiting to the site for a Kendo tournament to be held in Hakodate, they encounter Kid, who is aiming for a Japanese sword said to be hidden in the repository of the Onoe Zaibatsu. At the same time, a Japanese-American man known as the “Merchant of Death” was looking for treasures believed to have been hidden somewhere in Hakodate, when his body with a cross cut on the chest was found in Hakodate warehouse district. That treasure and the sword Kid is aiming at seem to have something kind of connection.",https://www.youtube.com/embed/C4pG3GbhQZw?rel=0&showinfo=0,"Rikiya Koyama, Minami Takayama, Kenjirô Tsuda, Wakana Yamazaki","Animation, Mystery, Romance",2024-08-02,111 minutes,Chika Nagaoka
https://iguov8nhvyobj.vcdn.cloud/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/f/m/fmm_intl_online_6072x9000_faces-stage_tsr_06.jpg,FLY ME TO THE MOON,"Starring Scarlett Johansson and Channing Tatum, FLY ME TO THE MOON is a sharp, stylish comedy-drama set against the high-stakes backdrop of NASA’s historic moon landing. Brought in to fix NASA’s public image, sparks fly in all directions as marketing wunderkind Kelly Jones (Johansson) wreaks havoc on launch director Cole Davis’s (Tatum) already difficult task. When the President deems the mission too important to fail, Jones is directed to stage a fake moon landing as back-up and the countdown truly begins…",https://www.youtube.com/embed/2iiZa-MzsE8?rel=0&showinfo=0,"Scarlett Johansson, Channing Tatum, Nick Dillenburg, Anna Garcia, Jim Rash, Noah Robbins, Colin Woodell, Christian Zuber, Donald Elise Watkins, with Ray Romano, and Woody Harrelson","Comedy, Drama",2024-08-09,,Greg Berlanti
