movie_poster,movie_name,movie_description,movie_trailer,movie_actress,movie_genres,movie_release,movie_length,movie_director
https://iguov8nhvyobj.vcdn.cloud/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/d/m/dm4_posterminion_700x1000.jpg,DESPICABLE ME 4,"Gru is facing a new enemy, Maxime Le Mal and Valentina is plotting revenge against him, forcing his family to flee elsewhere. Alongside the struggle to protect his family, Gru must also find common ground with the newest member of the household, Gru Jr.",https://www.youtube.com/embed/S1dnnQsY0QU?rel=0&showinfo=0,"Steve Carell, Kristen Wiig, Joey King","Adventure, Animation, Comedy",2024-07-05,94 minutes,"Chris Renaud, Patrick Delage"
https://iguov8nhvyobj.vcdn.cloud/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/a/q/aqpd1_teaser_glass_470x700.jpg,A QUIET PLACE: DAY ONE,Experience the day the world went quiet.,https://www.youtube.com/embed/9wVj8AxpT8A?rel=0&showinfo=0,"Joseph Quinn, Alex Wolff, Djimon Hounsou",Horror,2024-06-28,99 minutes 17 seconds,Michael Sarnoski
https://iguov8nhvyobj.vcdn.cloud/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/1/0/1080x1350-insideout.jpg,INSIDE OUT 2,"Cuộc sống tuổi mới lớn của cô bé Riley lại tiếp tục trở nên hỗn loạn hơn bao giờ hết với sự xuất hiện của 4 cảm xúc hoàn toàn mới: Lo Âu, Ganh Tị, Xấu Hổ, Chán Nản. Mọi chuyện thậm chí còn rối rắm hơn khi nhóm cảm xúc mới này nổi loạn và nhốt nhóm cảm xúc cũ gồm Vui Vẻ, Buồn Bã, Giận Dữ, Sợ Hãi và Chán Ghét lại, khiến cô bé Riley rơi vào những tình huống dở khóc dở cười.",https://www.youtube.com/embed/9phK0prtuJM?rel=0&showinfo=0,"(Lồng tiếng) Amy Poehler, Maya Hawke, Lewis Black, Phyllis Smith, Tony Hale, Liza Lapira, Ayo Edebiri, Adèle Exarchopoulos, Paul Walter Hauser,....","Adventure, Animation, Comedy",2024-06-14,96 minutes,Kelsey Mann
https://iguov8nhvyobj.vcdn.cloud/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/b/_/b_n_sao_c_a_470wx700h.jpg,TWILIGHT OF THE WARRIORS: WALLED IN,"Lac Quan illegally entered Hong Kong and received support from Quyen Phong to survive in Kowloon Walled City - a dangerous area with numerous gangs. During a crisis, they discovered hidden rules amidst the prevailing chaos. Confronted with criminal forces, they stood up against the dark schemes of their enemies determined to uphold their vow to protect the peace of this area.",https://www.youtube.com/embed/4slIl4BFveI?rel=0&showinfo=0,"Cổ Thiên Lạc, Hồng Kim Bảo, Nhậm Hiền Tề, Quách Phú Thành, Lâm Phong, Lưu Tuấn Khiêm, Huỳnh Đức Bân, Ngũ Doãn Long, Hồ Tử Đồng, Trương Văn Kiệt",Action,2024-06-14,124 minutes 17 seconds,Trịnh Bảo Thụy
https://iguov8nhvyobj.vcdn.cloud/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/p/o/poster_opt1_gia_tai_cua_ngoai_3.jpg,HOW TO MAKE MILLIONS BEFORE GRANDMA DIES,"A young man quits his job to look after his dying grandmother. However, it is not out of love that he assumes the role of a devoted grandson but for a substantial inheritance worth millions, going to great lengths to become the apple of his demanding grandmother’s eye before time runs out.",https://www.youtube.com/embed/Y_qYJ6To93k?rel=0&showinfo=0,"Putthipong Assaratanakul (Billkin), Usha Seamkhum, Tontawan Tantivejakul,…",Drama,2024-06-07,127 minutes,Pat Boonnitipat
https://iguov8nhvyobj.vcdn.cloud/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/3/5/350x495-ncq.jpg,MYSTERY WRITERS,"The 4th floor of the building was ""swallowed up"" by flames and abandoned long ago. However, rumors about the red dress ghost and horrifying deaths here continuously make residents live in extreme fear.",No trailer,Esther Huang; Yuu Chen; Yukan Temu,Horror,2024-07-05,83 minutes,Chih-Wen Hsieh
https://iguov8nhvyobj.vcdn.cloud/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/3/5/350x495-mhdn.jpg,MÙA HÈ ĐẸP NHẤT,"Mùa hè năm ấy, chúng ta chẳng có gì trong tay ngoài tuổi trẻ, ước mơ, và…có nhau. Nhưng cũng chính mùa Hè ấy - mùa hè mang theo những điều mà ta chưa kịp hoàn thành…

Bạn đã sẵn sàng gặp lại phiên bản của chính mình, trong những ngày Hè đẹp nhất của tuổi trẻ năm ấy và viết tiếp câu chuyện còn dở dang chưa?",https://www.youtube.com/embed/ZOPt6QHHbh8?rel=0&showinfo=0,"Đỗ Khánh Vân, Trần Nghĩa, Công Dương, Minh Dự, Nguyễn Tụ",Drama,2024-06-28,118 minutes,Vũ Khắc Tuận
https://iguov8nhvyobj.vcdn.cloud/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/a/b/abl-main-poster_1_.jpg,A BALLOON'S LANDING,"Hong Kong writer Thiên Vũ traveled alone to Taipei to search for the Whale Bay - a mysterious place that, according to a letter from a friend, could lead to paradise. During his trip, he unexpectedly met a kind local man named A Tường, who brought many emotions to Thiên Vũ. Although they had promised to search for the Whale Bay together, A Tường suddenly disappeared after the Kenting fireworks festival. Realizing that their previous meeting was fate, Thiên Vũ is determined to find A Tường and always hopes to meet him again.",https://www.youtube.com/embed/mBx68k8Ae9Y?rel=0&showinfo=0,"Terrance Lau, Fandy Fan, Chan Tzu Hsuan, Allison Lin",Romance,2024-06-28,100 minutes,Angel Teng
https://iguov8nhvyobj.vcdn.cloud/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/3/5/350x495-hktss.jpg,UNDER PARALLEL SKIES,"A man struggling with a painful past tries to move forward, only to discover that the woman in his present life has an uncanny connection to his past.",https://www.youtube.com/embed/cdrG6qXCrFY?rel=0&showinfo=0,"Metawin Opas-Iamkajorn, Janella Salvador",Romance,2024-06-28,110 minutes,Sigrid Andrea Bernardo
https://iguov8nhvyobj.vcdn.cloud/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/d/r/drm24_-_poster.jpg,DORAEMON THE MOVIE: NOBITA'S EARTH SYMPHONY,"FUJIKO F FUJI 90TH ANNIVERSARY
A mysterious girl, Micca, appears in front of Nobita, who is practicing his recorder for the school concert. She likes the laid-back tones that Nobita plays, so Mikka invites Doraemon, Nobita, and the others to the Hall of Music (Fare), which was created on a planet where music is energy. Mikka was looking for a musical master to play the music he needed to revive the Hall of Fare. Doraemon and his friends use the secret tool to play music to revive the Hall of Fame, but a creepy lifeform approaches them that erases music from the world.",https://www.youtube.com/embed/Yug8gbDd5EQ?rel=0&showinfo=0,"Wasabi Mizuta, Megumi Ôhara, Yumi Kakazu",Animation,2024-05-24,115 minutes,Kazuaki Imai
